id	text	category	cleaned_text
MA_YT001	Thaankal enthaan cheyyarullath?😛	NOT	thaankal enthaan cheyyarullath?
MA_YT002	Ee theetam WCC feminichigalude news aarkk venam...kondupode...	OFF	ee theetam wcc feminichigalude news aarkk venam.kondupode.
MA_YT003	fukru nem tiktok oolakale vilich charcha nadathiyenekka..bedham aanh	OFF	fukru nem tiktok oolakale vilich charcha nadathiyenekka.bedham aanh
MA_YT004	Aashiq abu produce cheytharunnel ee problems undakillarunnu.....	NOT	aashiq abu produce cheytharunnel ee problems undakillarunnu.
MA_YT005	Pennungal oru team aayal ath moonjum ennu epoo mansilayallo	OFF	pennungal oru team aayal ath moonjum ennu epoo mansilayallo
MA_YT006	@USER po oru Rajithakku parayam ennal oru Renjithinu parayan pattila. Karanam athu appol purushadhipathyam ayi pokum	NOT	user po oru rajithakku parayam ennal oru renjithinu parayan pattila. karanam athu appol purushadhipathyam ayi pokum
MA_YT007	@USER Ath kazhinju ulla sentence vayik	NOT	user ath kazhinju ulla sentence vayik
MA_YT008	@USER TL vere oru ss kandu.	NOT	user tl vere oru ss kandu.
MA_YT009	@USER penninte peru paranj ,,,,soyam bodham polumillathe enthakeyo kaati kootunna kudumbathi pirakaatha poya kure alavalatjikal und ,athil oru teams aanu ivalumar,,,,,neeyum angne aano mole	OFF	user penninte peru paranj ,,,,soyam bodham polumillathe enthakeyo kaati kootunna kudumbathi pirakaatha poya kure alavalatjikal und ,athil oru teams aanu ivalumar,,,,,neeyum angne aano mole
MA_YT010	@USER ninte chanthik ente vaka orayiram umma	OFF	user ninte chanthik ente vaka orayiram umma
MA_YT011	@USER aaano arinjilla..pavam femichees😣😣	OFF	user aaano arinjilla.pavam femichees
MA_YT012	@USER ningaldae oru avastha kashtam.... Sthrethvathinte peril... Udaip ayitt erangiyekaan....athe ithe mohanlalinte ethira ala motham oru kotam alkaruda melek ale adishepam ... Kashtam NADIMARE	OFF	user ningaldae oru avastha kashtam. sthrethvathinte peril. udaip ayitt erangiyekaan.athe ithe mohanlalinte ethira ala motham oru kotam alkaruda melek ale adishepam . kashtam nadimare
MA_YT013	@USER Calicut ilas.. Athe enthina nadana nadan eland... Ente thengya enane vilikande....	NOT	user calicut ilas. athe enthina nadana nadan eland. ente thengya enane vilikande.
MA_YT014	@USER ne oru kaaryma cheyy mohanlaline ninde ammak kettich kodukk ennat achaan vilik.....HASH💚❤️	OFF	user ne oru kaaryma cheyy mohanlaline ninde ammak kettich kodukk ennat achaan vilik.hash
MA_YT015	Nellarayude partner carrot um cucumber um thinnu maduthu  ?????? Firosikka pwoli	NOT	nellarayude partner carrot um cucumber um thinnu maduthu  ?????? firosikka pwoli
MA_YT016	@USER Nee ninte thallaye nattukarkk ookan kodukk Ninte thantha myran oombatte Aaa nayinte mole nattukarkk koduth Nee jeevikk thanthayillathavane	OFF	user nee ninte thallaye nattukarkk ookan kodukk ninte thantha myran oombatte aaa nayinte mole nattukarkk koduth nee jeevikk thanthayillathavane
MA_YT017	Gulfil minaral waterilano meen kazukaan ??	NOT	gulfil minaral waterilano meen kazukaan ??
MA_YT018	@USER thall illathe valarnna ninnod enth oarayan..ninappan etho poothine ooki indayathaan ne..allenkil mohanlala kore kallavedi vechappo ninde pezhacha thallayum pettindavum...thayyoli avande amede pootile mohanlal..phha kunna nintappande andi oomb poyi aadhyam enna mohanlalinde andi oomba......	OFF	user thall illathe valarnna ninnod enth oarayan.ninappan etho poothine ooki indayathaan ne.allenkil mohanlala kore kallavedi vechappo ninde pezhacha thallayum pettindavum.thayyoli avande amede pootile mohanlal.phha kunna nintappande andi oomb poyi aadhyam enna mohanlalinde andi oomba.
MA_YT019	Businessil ithoke undakum	NOT	businessil ithoke undakum
MA_YT020	@USER njan oombumeda iniyum oombum ninne pole swantham thallaye vittallalla nian jeevikkunne Swantgam thantha arenn ariyatha ninne polulla chempooranmarod nth parayana Oru manu vijayan Vijayan ninte thantha ano enn ninte thalla koothichiyod chodikkada Shikandi myra	OFF	user njan oombumeda iniyum oombum ninne pole swantham thallaye vittallalla nian jeevikkunne swantgam thantha arenn ariyatha ninne polulla chempooranmarod nth parayana oru manu vijayan vijayan ninte thantha ano enn ninte thalla koothichiyod chodikkada shikandi myra
MA_YT021	"@USER nee entjelum paray myre...ninde thanta annu closet vanam vitirunnenkil nee ipoo avidirun chelachene....ninde thallayum vedi nnoke parayunn a pennungal avar chooshanam cheyyapetta vivaram parayumbo ninak kalinde edayi thoongiyaadunna a 4 inch sadhanathin ithra kazhapp....eda myraa..ninde thallaye orutha kunichu niruthi andi vayel vech koduthunnu veetil vannnu parayumbo nee enth cheyyum....""mohanlal ano amme oombichath haavu ashwaasamayi"" ennu parayumoda thallaye ooki jeevikkunavane.."	OFF	"user nee entjelum paray myre.ninde thanta annu closet vanam vitirunnenkil nee ipoo avidirun chelachene.ninde thallayum vedi nnoke parayunn a pennungal avar chooshanam cheyyapetta vivaram parayumbo ninak kalinde edayi thoongiyaadunna a 4 inch sadhanathin ithra kazhapp.eda myraa.ninde thallaye orutha kunichu niruthi andi vayel vech koduthunnu veetil vannnu parayumbo nee enth cheyyum.""mohanlal ano amme oombichath haavu ashwaasamayi"" ennu parayumoda thallaye ooki jeevikkunavane."
MA_YT022	@USER ninte thanthakk andikk urappillathath kondalle ninte thallaye nattukar menj nee enna kazhuveri undayath. Ninte thalla koothichiye paranjitt karyamilla. Avarum oru penn alle avarkkum kazhapp undakille Ninte thantha enn ner vilikkunna vijayan myrane an adyam parayandath By the by mohanlal ninte kundi keeriyo machinga myra Allenkil mohanalal ano ninte thallaye oombipich kadann kalanjath	OFF	user ninte thanthakk andikk urappillathath kondalle ninte thallaye nattukar menj nee enna kazhuveri undayath. ninte thalla koothichiye paranjitt karyamilla. avarum oru penn alle avarkkum kazhapp undakille ninte thantha enn ner vilikkunna vijayan myrane an adyam parayandath by the by mohanlal ninte kundi keeriyo machinga myra allenkil mohanalal ano ninte thallaye oombipich kadann kalanjath
MA_YT023	@USER ninde thallede number onnu theruo...ante pattik ookan kodukkana..allenkil kannimaasam avumbo thanna mathi...pattyde vanthin ninak njn oru aniyane theram......🥰	OFF	user ninde thallede number onnu theruo.ante pattik ookan kodukkana.allenkil kannimaasam avumbo thanna mathi.pattyde vanthin ninak njn oru aniyane theram.
MA_YT024	@USER nintammene kootit ingot va. Ennit ne maari nikk. Eda thayoli youtubil Vann verthe theri vilich ninte thanthayude swabavam kanikkalle. Onn paranj randamath theri vili. Ithokke ninte thallayodum thanthayodum edtha mathi.	OFF	user nintammene kootit ingot va. ennit ne maari nikk. eda thayoli youtubil vann verthe theri vilich ninte thanthayude swabavam kanikkalle. onn paranj randamath theri vili. ithokke ninte thallayodum thanthayodum edtha mathi.
MA_YT025	@USER poda venne...🥰 amma thooriyapoo therich poyavane.	OFF	user poda venne. amma thooriyapoo therich poyavane.
MA_YT026	@USER nee ninte thallayod thanthayod para Closet vaname	OFF	user nee ninte thallayod thanthayod para closet vaname
MA_YT027	Edo parvathi padmapriya onnum alla aaa revathi kurach prayam ulla strreee alle ,, awaralle eware koode prnju mnsilakandadh ... paratta thalla 🤬	OFF	edo parvathi padmapriya onnum alla aaa revathi kurach prayam ulla strreee alle ,, awaralle eware koode prnju mnsilakandadh . paratta thalla 
MA_YT028	Nadi mare nadimare ennalathr gusthikar ennu parayan pattumo	NOT	nadi mare nadimare ennalathr gusthikar ennu parayan pattumo
MA_YT029	@USER njan ninne sex cheythotte	OFF	user njan ninne sex cheythotte
MA_YT030	@USER ithil ipo mindan vendum ntha undaye	NOT	user ithil ipo mindan vendum ntha undaye
MA_YT031	@USER aahaa pennan Supporter undallo ivide	NOT	user aahaa pennan supporter undallo ivide
MA_YT032	@USER ivalokke nth Lalettande okke sprt kond thnneya kore padangal thnne aa samayathokke kitye..ipo pinne kilavi ayallo pavam..pinna Ettan ipozhum cheruppanu😎🙌🏻	OFF	user ivalokke nth lalettande okke sprt kond thnneya kore padangal thnne aa samayathokke kitye.ipo pinne kilavi ayallo pavam.pinna ettan ipozhum cheruppanu
MA_YT033	@USER vaa thuranna chettatharame parayoolunnu mathram	NOT	user vaa thuranna chettatharame parayoolunnu mathram
MA_YT034	@USER chettatharam rahasyamayi kanikam..athinu kuzhapamilla lle..mohanlal vallya star ayipoyille,arum neril chodikan dhairyapedilla...pennupidiyan😏	OFF	user chettatharam rahasyamayi kanikam.athinu kuzhapamilla lle.mohanlal vallya star ayipoyille,arum neril chodikan dhairyapedilla.pennupidiyan
MA_YT035	@USER do than ethanu ealu ee parayana 3 ennom decent aanalloo😝😝😝😝 ethonnum allandu vere orennam koodu undu geethu mohandas. arinnattu kidannu chelakku keettaaa	OFF	user do than ethanu ealu ee parayana 3 ennom decent aanalloo ethonnum allandu vere orennam koodu undu geethu mohandas. arinnattu kidannu chelakku keettaaa
MA_YT036	@USER da umba Lal@10 Vilichadh thettan..Vedikale Nadikal ennu vilichallo..	OFF	user da umba lal10 vilichadh thettan.vedikale nadikal ennu vilichallo.
MA_YT037	"@USER abhiprayam parayunna sthreekal oke vedikanalodo? Atho avar abhinayicha filmsilude ano thaan avare judge cheytheth. Anna pinne mohanlal thanneyanu ettavum vallya -""vedi"""	OFF	"user abhiprayam parayunna sthreekal oke vedikanalodo? atho avar abhinayicha filmsilude ano thaan avare judge cheytheth. anna pinne mohanlal thanneyanu ettavum vallya ""vedi"""
MA_YT038	@USER thanonnum vilikkanda penkondha	OFF	user thanonnum vilikkanda penkondha
MA_YT039	@USER kilukum ,devasuram oke revathi thanneyalle abhinayichath allathe mohanlal ottakyallalo.revathikk abhinayikan arilapolum.thangal onnu abhinayich kanichate. Oru video i tubeil idu.ennit parayam baki	NOT	user kilukum ,devasuram oke revathi thanneyalle abhinayichath allathe mohanlal ottakyallalo.revathikk abhinayikan arilapolum.thangal onnu abhinayich kanichate. oru video i tubeil idu.ennit parayam baki
MA_YT040	@USER onnu podi shavame. Sathyam para nee alle parvathy. Perum matti swanthamayi nyayeekarikkan irangiyathalle kurippe nee	OFF	user onnu podi shavame. sathyam para nee alle parvathy. perum matti swanthamayi nyayeekarikkan irangiyathalle kurippe nee
MA_YT041	@USER parvathy enna vyakthye njn respect cheyunnu. She has the spine.thannepole vazhapindi nattel aakkivekunnavar alla	OFF	user parvathy enna vyakthye njn respect cheyunnu. she has the spine.thannepole vazhapindi nattel aakkivekunnavar alla
MA_YT042	@USER aanungale pole mudi valarthiyirikkunna kondano ninakk avalod ithra ishtam. Enna poyi avalude shaddi kazhuki kodukk	OFF	user aanungale pole mudi valarthiyirikkunna kondano ninakk avalod ithra ishtam. enna poyi avalude shaddi kazhuki kodukk
MA_YT043	@USER than poyi Adam thante underwear kazhukk ennit mathi bakiyullavarde karyathil edapedunnath.	OFF	user than poyi adam thante underwear kazhukk ennit mathi bakiyullavarde karyathil edapedunnath.
MA_YT044	@USER ayyo njan kazhuki. Ninne pole konakam ittondalla nadakkunne. Kazhukanamengi njan parayaam. Vannu kazhukiyitt po	OFF	user ayyo njan kazhuki. ninne pole konakam ittondalla nadakkunne. kazhukanamengi njan parayaam. vannu kazhukiyitt po
MA_YT045	@USER give respect take respect ennalle.... Abhinayamaan aaswaadhanam....kalaye maathram snehikku.....kazhivullavar mathre valarnnu vannittullu...valarthiyittullu....athu marakkaandirikaa...	NOT	user give respect take respect ennalle. abhinayamaan aaswaadhanam.kalaye maathram snehikku.kazhivullavar mathre valarnnu vannittullu.valarthiyittullu.athu marakkaandirikaa.
MA_YT046	@USER pinnentha lalettanu padam illenno	NOT	user pinnentha lalettanu padam illenno
MA_YT047	@USER nthe nokipedipikan nokuvano	NOT	user nthe nokipedipikan nokuvano
